outgoing_mins_per_month,outgoing_sms_per_month,monthly_mb,use_id,platform,device,manufacturer,Model
21.97,4.82,1557.33,22787,android,GT-I9505,Samsung,GT-I9505
1710.08,136.88,7267.55,22788,android,SM-G930F,Samsung,SM-G930F
1710.08,136.88,7267.55,22789,android,SM-G930F,Samsung,SM-G930F
94.46,35.17,519.12,22790,android,D2303,Sony,D2303
71.59,79.26,1557.33,22792,android,SM-G361F,Samsung,SM-G361F
71.59,79.26,1557.33,22793,android,SM-G361F,Samsung,SM-G361F
71.59,79.26,519.12,22794,android,SM-G361F,Samsung,SM-G361F
71.59,79.26,519.12,22795,android,SM-G361F,Samsung,SM-G361F
30.92,22.77,3114.67,22799,android,ONEPLUS A3003,,
69.8,14.7,25955.55,22801,android,GT-I9505,Samsung,GT-I9505
554.41,150.06,3114.67,22804,android,SM-G935F,Samsung,SM-G935F
189.1,24.08,519.12,22805,android,GT-I9195,Samsung,GT-I9195
283.3,107.47,15573.33,22806,android,A0001,OnePlus,A0001
324.34,92.52,519.12,22808,android,SM-G900F,Samsung,SM-G900F
797.06,7.67,519.12,22813,android,HTC Desire 510,HTC,HTC Desire 510
797.06,7.67,519.12,22813,android,HTC Desire 510,HTC,HTC Desire 510
797.06,7.67,15573.33,22814,android,HTC Desire 510,HTC,HTC Desire 510
797.06,7.67,15573.33,22814,android,HTC Desire 510,HTC,HTC Desire 510
797.06,7.67,15573.33,22815,android,HTC Desire 510,HTC,HTC Desire 510
797.06,7.67,15573.33,22815,android,HTC Desire 510,HTC,HTC Desire 510
797.06,7.67,15573.33,22816,android,HTC Desire 510,HTC,HTC Desire 510
797.06,7.67,15573.33,22816,android,HTC Desire 510,HTC,HTC Desire 510
797.06,7.67,15573.33,22817,android,HTC Desire 510,HTC,HTC Desire 510
797.06,7.67,15573.33,22817,android,HTC Desire 510,HTC,HTC Desire 510
78.8,327.33,10382.21,22819,android,HTC One mini 2,HTC,HTC One mini 2
78.8,327.33,15573.33,22820,android,HTC One mini 2,HTC,HTC One mini 2
78.8,327.33,15573.33,22822,android,HTC One mini 2,HTC,HTC One mini 2
164.1,192.64,3114.67,22823,android,SM-G900F,Samsung,SM-G900F
208.26,91.76,5191.12,22824,android,SM-G900F,Samsung,SM-G900F
681.44,47.35,1271.39,22829,ios,"iPhone7,2",,
324.27,91.5,519.12,22830,android,SM-G900F,Samsung,SM-G900F
85.97,26.94,407.01,22831,android,GT-I8190N,Samsung,GT-I8190N
244.88,105.95,1557.33,22832,android,D5803,Sony,D5803
244.88,105.95,1557.33,22832,android,D5803,Sony,D5803
135.09,42.02,5191.12,22833,android,E6653,Sony,E6653
57.49,16.73,15573.33,22839,android,A0001,OnePlus,A0001
184.63,153.86,3114.67,22840,android,SM-G935F,Samsung,SM-G935F
103.97,234.72,1557.33,22849,android,SM-A310F,Samsung,SM-A310F
103.97,234.72,1557.33,22850,android,SM-A310F,Samsung,SM-A310F
420.21,274.76,519.12,22852,android,SM-G935F,Samsung,SM-G935F
420.21,274.76,519.12,22853,android,SM-G935F,Samsung,SM-G935F
99.23,35.58,519.12,22854,android,D2303,Sony,D2303
300.47,169.32,3114.67,22855,android,SM-N910F,Samsung,SM-N910F
300.47,169.32,3114.67,22855,android,SM-N910F,Samsung,SM-N910F
21.75,16.21,1557.33,22856,android,SM-G360F,Samsung,SM-G360F
1221.85,69.2,6229.33,22858,android,ONEPLUS A3003,,
74.59,150.59,1038.21,22861,android,HTC One S,HTC,HTC One S
74.59,150.59,1038.21,22861,android,HTC One S,HTC,HTC One S
74.59,150.59,1038.21,22861,android,HTC One S,HTC,HTC One S
74.59,150.59,1038.21,22862,android,HTC One S,HTC,HTC One S
74.59,150.59,1038.21,22862,android,HTC One S,HTC,HTC One S
74.59,150.59,1038.21,22862,android,HTC One S,HTC,HTC One S
189.33,7.67,1557.33,22863,android,ONEPLUS A3003,,
67.15,39.03,3114.67,22864,android,SM-G900F,Samsung,SM-G900F
67.15,39.03,3114.67,22865,android,SM-G900F,Samsung,SM-G900F
67.15,39.03,5191.12,22866,android,SM-G900F,Samsung,SM-G900F
29.54,34.78,33.79,22871,android,GT-I9300,Samsung,GT-I9300
29.54,34.78,33.79,22871,android,GT-I9300,Samsung,GT-I9300
109.32,27.86,1557.33,22873,android,SM-J320FN,Samsung,SM-J320FN
59.54,52.64,519.12,22874,android,SM-G900F,Samsung,SM-G900F
249.26,253.22,1557.33,22875,android,GT-I9505,Samsung,GT-I9505
249.26,253.22,1557.33,22876,android,GT-I9505,Samsung,GT-I9505
287.74,33.97,1557.33,22879,android,HTC Desire 530,HTC,HTC Desire 530
287.74,33.97,1557.33,22879,android,HTC Desire 530,HTC,HTC Desire 530
287.74,33.97,1557.33,22879,android,HTC Desire 530,HTC,HTC Desire 530
287.74,33.97,1557.33,22879,android,HTC Desire 530,HTC,HTC Desire 530
83.46,114.06,3114.67,22880,android,GT-I9505,Samsung,GT-I9505
128.34,1.77,7469.79,22881,android,HTC Desire 825,HTC,HTC Desire 825
43.03,0.47,2076.45,22882,android,F3111,Sony,F3111
43.03,0.47,2076.45,22883,android,F3111,Sony,F3111
43.03,0.47,2076.45,22884,android,F3111,Sony,F3111
227.51,98.66,519.12,22885,android,SM-G900F,Samsung,SM-G900F
74.23,47.4,1557.33,22886,android,SM-G800F,Samsung,SM-G800F
16.24,18.82,1557.33,22887,android,GT-I9195,Samsung,GT-I9195
125.32,38.53,3114.67,22888,android,GT-I9505,Samsung,GT-I9505
316.08,435.29,1620.05,22889,android,SM-G920F,Samsung,SM-G920F
28.85,30.22,3114.67,22890,android,SM-G900F,Samsung,SM-G900F
205.11,273.75,16611.55,22891,android,SM-N9005,Samsung,SM-N9005
67.35,15.38,1557.33,22892,android,Nexus 5X,LGE,Nexus 5X
145.55,11.5,3114.67,22895,android,SM-G925F,Samsung,SM-G925F
145.55,11.5,3114.67,22896,android,SM-G925F,Samsung,SM-G925F
66.47,31.68,5191.12,22897,android,SM-G900F,Samsung,SM-G900F
145.55,11.5,4152.88,22902,android,SM-G925F,Samsung,SM-G925F
9.74,11.3,2076.45,22903,android,SM-N910F,Samsung,SM-N910F
9.74,11.3,2076.45,22903,android,SM-N910F,Samsung,SM-N910F
178.99,64.38,3114.67,22907,android,SM-G900F,Samsung,SM-G900F
143.81,79.38,9005.49,22908,android,GT-I9505,Samsung,GT-I9505
42.25,37.06,1557.33,22909,android,HTC Desire 825,HTC,HTC Desire 825
8.14,0.79,1777.61,22912,android,SM-N910F,Samsung,SM-N910F
